Name,Lat,Lng
AMC Stonebriar 24 ,33.0991489,-96.8113749
AMC Highland Village 12 ,33.0752686,-97.0857095
AMC Grapevine Mills 30 with Dine-In Theatres ,32.9666091,-97.0446154
AMC Valley View 16 ,32.929806,-96.807709
AMC Firewheel 18 ,32.950383,-96.6140541
AMC Irving Mall 14 ,32.8410771,-96.9956526
AMC Mesquite 30 with IMAX and Dine-in Theatres ,32.7886335,-96.6274124
AMC The Parks At Arlington 18 ,32.678896,-97.127895
AMC Palace 9 ,32.75558,-97.3303472
AMC NorthPark 15,32.869276,-96.77352
AMC Village On The Parkway 9 ,32.9503341,-96.8206441
AMC Starplex Irving 10 ,32.8334428,-97.0066595
AMC Starplex Mesquite 10 ,32.7920978,-96.5982618
AMC Starplex Lake Worth 14 ,32.8039514,-97.4301508
AMC Eastchase 9 ,32.7571384,-97.1709968
