Name,Lat,Lng
AMC South Bay Galleria 16 ,33.8719582,-118.3557911
AMC Rolling Hills 20 ,33.7922263,-118.3285053
AMC Tustin 14 at The District ,33.696635,-117.8289917
AMC Montebello 10 ,34.0339783,-118.0927458
AMC Norwalk 20 ,33.913552,-118.071146
AMC Downtown Disney 12 (Los Angeles) ,33.8084605,-117.9249581
AMC Tyler Galleria 16 ,33.9129152,-117.457658
AMC Dine-in Theatres Marina 6 ,33.987422,-118.44095
AMC Marina Pacifica 12 ,33.7593053,-118.1142706
AMC Promenade 16 ,34.180215,-118.6030083
AMC Fallbrook 7 ,34.191961,-118.625752
AMC Santa Anita 16 ,34.13547,-118.048679
AMC Universal CityWalk 19 with IMAX (Los Angeles) ,34.1371163,-118.352547
AMC Santa Monica 7 ,34.0165548,-118.4977393
AMC Del Amo 18 ,33.833969,-118.34769
AMC Burbank 16 ,34.1819907,-118.3119646
AMC Burbank Town Center 6 ,34.184906,-118.3152925
AMC Century City 15 ,34.0573884,-118.4186013
AMC Loews Broadway 4 ,34.0149577,-118.4947959
AMC Criterion 6 ,34.0167979,-118.4971421
AMC Covina 17 ,34.1050942,-117.9053015
AMC Glendora 12 ,34.1170439,-117.8363355
AMC Atlantic Times Square 14 ,34.0675503,-118.1335223
AMC Puente Hills 20 ,33.9945895,-117.9264395
AMC La Mirada 7 ,33.8971645,-118.0053244
AMC Ontario Mills 30 ,34.0745918,-117.5526612
AMC Victoria Gardens 12 ,34.1127122,-117.5301744
AMC Orange 30 ,33.7824914,-117.8935974
AMC Woodbridge 5 ,33.6777035,-117.7992075
AMC Burbank Town Center 8 ,34.1833834,-118.3121905
